TTNU8121310,DYE,13/01/2024 08:24,02/01/2024 00:00,31/01/2024 06:00,31/01/2024 10:30,08-Feb-24 13:32 PM,8.1237,GRAPES,TRIPLE RED LTD,MAILOGHUD,MOHHHRKTR,MOVING GOODS
TGHU9913775,DYE,13/01/2024 08:24,02/01/2024 00:00,31/01/2024 06:00,31/01/2024 10:30,07-Feb-24 13:32 PM,7.12386,GRAPES,MERLIN LTD,MAILOGHUD,MOHHHRKTR,MOVING GOODS
CXRU1620110,DYE,,22/01/2024 00:00,01/02/2024 00:00,,,-,FRESH GRAPES,ACME UK LTD,DAVBENQUB,MOHHHRKTR,MOVING GOODS
TTNU8059180,DYE,,22/01/2024 00:00,01/02/2024 00:00,,,-,FRESH GRAPES,ACME UK LTD,DAVBENQUB,MOHHHRKTR,MOVING GOODS
TRIU8012000,DYE,13/01/2024 08:24,02/01/2024 00:00,31/01/2024 06:00,31/01/2024 10:14,02/02/2024 11:54,2.04134,GRAPES,ACME UK LTD,MAILOGHUD,MOHHHRKTR,TRANSPORTING 
MNBU4218205,DGR,30/01/2024 20:54,30/01/24 19:00 PM,12/02/24 19:00 PM,,,-,FRESH EGYPTIAN VALENCIA ORANGES,MAHINOUR LTD,,MOHHHRKTR,TRANSPORTING 
MNBU3080940,DYE,,21/01/2024 11:00,05/02/2024 07:00,05/02/2024 07:38,,-,FRESH GRAPES,ACME UK LTD,MAILOGHUD,MOHHHRKTR,TRANSPORTING 
ZCSU5858266,DYE,04/02/2024 22:28,04/02/2024 00:00,17/02/24 14:00 PM,,,-,RED GRAPEFRUIT,MERLIN LTD,ULTRALRNA,MOHHHRKTR,TRANSPORTING 
CRSU6120205,DYE,26/01/2024 09:42,26/01/2024 09:42,12/02/24 18:05 PM,,,-,GRAPES,HORIZONS UK,FRESHLPBK,MOHHHRKTR,TRANSPORTING 
MNBU3702956,DYE,,20/01/2024 00:00,04/02/24 17:00 PM,04-Feb-24 17:00 PM,,-,GRAPES,HORIZONS UK,,MOHHHRKTR,TRANSPORTING 
MNBU3716055,DYE,,20/01/2024 00:00,04/02/24 17:00 PM,04-Feb-24 17:00 PM,,-,GRAPES,HORIZONS UK,,MOHHHRKTR,TRANSPORTING 
MMAU1165308,DYE,21/01/2024 11:46,21/01/2024 11:00,30/01/2024 12:00,30/01/2024 12:16,07-Feb-24 13:32 PM,8.04038,MANDARIN,ACME UK LTD,MAILOGHUD,MOHHHRKTR,TRANSPORTING 
GMOU8870446,DYE,04/02/2024 22:28,04/02/2024 00:00,17/02/24 14:00 PM,,,-,ORRI MANDARIN,HORIZONS UK,MEROFRESX,MOHHHRKTR,TRANSPORTING 
BREAK BULK,DYE,,22/01/2024 00:00,01/02/2024 00:00,,,-,GRAPES,ACME UK LTD,DAVBENQUB,MOHHHRKTR,TRANSPORTING 
MSDU9029303,DYE,13/01/2024 08:24,02/01/2024 00:00,31/01/2024 06:00,31/01/2024 10:30,,-,FRESH  GRAPES,ACME UK LTD,MEROFRESX,MOHHHRKTR,MOVING GOODS
MEDU9631632,DYE,13/01/2024 08:24,02/01/2024 00:00,31/01/2024 06:00,31/01/2024 10:30,,-,FRESH  GRAPES,ACME UK LTD,MEROFRESX,MOHHHRKTR,MOVING GOODS
MNBU4116224,DYE,21/01/2024 11:00,21/01/2024 11:00,05/02/2024 07:00,05/02/2024 07:38,,-,GRAPES,ACME UK LTD,MEROFRESX,MOHHHRKTR,MOVING GOODS
CXRU1170882,DGR,01/02/2024 16:00,31/01/2024 08:00,11/02/2024 02:00,11/02/2024 02:04,,-,FRESH EGYPTIAN VALENCIA ORANGES,ACME UK LTD,,MOHHHRKTR,No Carrier
